"URL","Titel","Land","Beschreibung","Ort","Bezug","Staatlich_Öffentlich","Geoportal","GDI","lon","lat"
"http://statistik.at/","Statistik Austria","Österreich","","Österreich","national","nein","","",16.3205947590645,48.1970095436386
"http://data.tirol.gv.at/","Tirol Data Portal","Österreich","Daten der Verwaltung werden durch digitale Infrastruktur öffentlich verfügbar und nutzbar gemacht.","Tirol","regional","ja","","",11.3333333050361,47.2500000028112
"http://data.vorarlberg.gv.at/","Vorarlberg Open Data","Österreich","","Voralberg","regional","ja","","",9.91705517918579,47.272483954244
"http://data.wien.gv.at/","Open Government Data Wien","Österreich","","Wien","regional","ja","","",16.3225698670845,48.2107914110145
"http://ge.ch/sitg/sitg_catalog/sitg_donnees","Sitg Geneva's Territorial Information System","Schweiz","","Genf","regional","nein","ja","",6.14883716251693,46.2224631197342
"http://data.tpg.ch/","Open Data TPG","Schweiz","","Genf","regional","nein","","",6.17859170675544,46.1894635557545
"https://www.wmo.int/","Weltorganisation für Meteorologie","Schweiz","World Meteorological Organization PROGRAMMES site | English version | WMO.int","Genf","international","nein","","",6.12257112670033,46.1880663926795
"http://bis.org/statistics/","Bank For International Settlements Statistics","Schweiz","About BIS statistics","Schweiz","international","nein","","",7.60000000073749,47.5667000033011
"http://opendata.cern.ch/","Cern Open Data","Schweiz","","Schweiz","international","nein","","",6.05279999887994,46.2342000021963
"http://meteoswiss.ch/","Meteoswiss","Schweiz","","Schweiz","national","ja","","",8.33302199186339,46.8557869609767
"http://www.bfs.admin.ch/","Bundesamt für Statistik","Schweiz","","Schweiz","national","ja","","",8.36180967302047,46.8222180417117
"https://opendata.swiss","opendata.swiss","Schweiz","opendata.swiss ist das Portal für Schweizer Open Government Data (OGD). Hier können Sie Schweizer Behördendaten kostenlos herunterladen.","Schweiz","national","ja","","",8.30506833968604,46.8218879064689
"https://data.stadt-zuerich.ch/","Zurich Open Data","Schweiz","","Zürich","kommunal","ja","","",8.55000000185306,47.3667000031277
"https://www.bmlfuw.gv.at/service/geo-informationen.html","GIS-Anwendungen des BMLFUW","Österreich","","Österreich","national","ja","ja","",14.5524411293885,47.5386111546069
"http://www.austrianmap.at","AMAP Austria – BEV – Bundesamt für Eich- und Vermessungswesen","Österreich","","Österreich","national","ja","ja","",14.577491125815,47.5036487314501
"http://www.geoland.at/","geoland.at – Geodatenportal der österreichischen Länder","Österreich","GEOLAND.AT - Das Geodatenportal der österreichischen Länder ist Teil nationaler und internationalen Geodateninfrastrukturen (GDI), die die Nutzung von öffentlichen Geodaten für Verwaltung, Wirtschaft, Forschung, Bildung und Bürger wesentlich erleichtern sollen.","Österreich","regional","ja","ja","ja",14.520283768742,47.5064258762944
"http://www.doris.at/","DORIS interMAP – Startseite","Österreich","DORIS ist das Digitale Oberösterreichische RaumInformationssystem - das Geographische Informationssystem des Landes Oö.","Oberösterreich","regional","ja","ja","ja",13.9723665074214,48.0258540015892
